|Happy|Angry|Surprise|Sad|Fear|emotion
0|0.31|0.06|0.19|0.12|0.31|Happy
1|0.0|0.0|0.0|0.0|1.0|Fear
2|0.11|0.0|0.11|0.44|0.33|Sad
3|0.29|0.0|0.21|0.21|0.29|Happy
4|0.0|0.0|0.0|0.0|0.0|Happy
5|0.25|0.0|0.25|0.38|0.12|Sad
6|0.23|0.08|0.15|0.46|0.08|Sad
7|0.0|0.0|0.28|0.56|0.17|Sad
8|0.15|0.03|0.12|0.33|0.36|Fear
9|0.0|0.0|0.0|1.0|0.0|Sad
10|0.0|0.0|0.0|0.0|1.0|Fear
11|0.83|0.0|0.0|0.17|0.0|Happy
12|0.33|0.11|0.22|0.0|0.33|Happy
13|0.09|0.0|0.09|0.18|0.64|Fear
14|0.0|0.0|0.33|0.67|0.0|Sad
15|0.2|0.07|0.2|0.27|0.27|Sad
16|0.0|0.0|0.0|0.0|1.0|Fear
17|0.8|0.0|0.1|0.1|0.0|Happy
18|0.42|0.0|0.08|0.25|0.25|Happy
19|0.0|0.0|0.0|0.0|0.0|Happy
20|1.0|0.0|0.0|0.0|0.0|Happy
21|0.09|0.09|0.27|0.36|0.18|Sad
22|0.22|0.0|0.33|0.0|0.44|Fear
23|0.0|0.0|0.0|1.0|0.0|Sad
24|0.12|0.09|0.15|0.36|0.27|Sad
25|0.19|0.05|0.29|0.29|0.19|Surprise
26|0.24|0.1|0.24|0.1|0.33|Fear
27|0.33|0.07|0.0|0.4|0.2|Sad
28|0.25|0.0|0.38|0.12|0.25|Surprise
29|0.06|0.0|0.06|0.5|0.38|Sad
30|0.0|0.13|0.33|0.4|0.13|Sad
31|0.0|0.0|0.2|0.6|0.2|Sad
32|0.0|0.0|0.0|0.0|0.0|Happy
33|0.0|0.0|0.5|0.5|0.0|Surprise
34|0.12|0.0|0.25|0.25|0.38|Fear
35|0.25|0.0|0.05|0.3|0.4|Fear
36|0.06|0.12|0.19|0.38|0.25|Sad
37|0.5|0.17|0.33|0.0|0.0|Happy
38|0.0|0.0|0.0|0.0|0.0|Happy
39|0.17|0.08|0.08|0.5|0.17|Sad
40|0.38|0.0|0.0|0.25|0.38|Happy
41|0.13|0.0|0.39|0.26|0.22|Surprise
42|0.0|0.0|0.29|0.57|0.14|Sad
43|0.12|0.06|0.29|0.24|0.29|Surprise
44|0.36|0.09|0.18|0.27|0.09|Happy
45|0.23|0.0|0.31|0.23|0.23|Surprise
46|0.5|0.0|0.0|0.5|0.0|Happy
47|0.29|0.0|0.29|0.29|0.14|Happy
48|0.0|0.0|0.42|0.33|0.25|Surprise
49|0.43|0.0|0.29|0.14|0.14|Happy
50|0.5|0.0|0.0|0.5|0.0|Happy
51|0.42|0.08|0.17|0.17|0.17|Happy
52|0.5|0.0|0.0|0.0|0.5|Happy
53|0.29|0.0|0.27|0.22|0.22|Happy
54|0.33|0.0|0.33|0.33|0.0|Happy
55|0.56|0.11|0.0|0.22|0.11|Happy
56|0.26|0.0|0.42|0.16|0.16|Surprise
57|0.31|0.0|0.38|0.21|0.1|Surprise
58|0.0|0.0|0.0|1.0|0.0|Sad
59|0.0|0.0|0.0|0.0|0.0|Happy
60|0.38|0.05|0.41|0.11|0.05|Surprise
61|0.0|0.0|0.0|0.0|0.0|Happy
62|0.0|0.0|0.0|0.0|0.0|Happy
63|0.0|0.0|0.25|0.5|0.25|Sad
64|0.22|0.04|0.39|0.09|0.26|Surprise
65|1.0|0.0|0.0|0.0|0.0|Happy
66|0.12|0.06|0.12|0.24|0.47|Fear
67|0.42|0.11|0.21|0.11|0.16|Happy
68|0.29|0.0|0.0|0.29|0.43|Fear
69|0.38|0.06|0.06|0.19|0.31|Happy
70|0.4|0.0|0.0|0.4|0.2|Happy
71|0.0|0.0|0.5|0.0|0.5|Surprise
72|0.14|0.14|0.29|0.43|0.0|Sad
73|0.43|0.0|0.36|0.21|0.0|Happy
74|0.0|0.0|1.0|0.0|0.0|Surprise
75|0.0|0.15|0.0|0.15|0.69|Fear
76|0.38|0.0|0.15|0.15|0.31|Happy
77|0.08|0.15|0.23|0.23|0.31|Fear
78|0.11|0.0|0.26|0.37|0.26|Sad
79|0.27|0.0|0.07|0.47|0.2|Sad
80|0.45|0.0|0.09|0.36|0.09|Happy
81|0.0|0.0|0.0|0.0|0.0|Happy
82|0.17|0.06|0.28|0.33|0.17|Sad
83|0.09|0.09|0.27|0.05|0.5|Fear
84|0.0|0.0|0.38|0.62|0.0|Sad
85|0.42|0.17|0.17|0.08|0.17|Happy
86|0.31|0.0|0.23|0.31|0.15|Happy
87|0.27|0.0|0.2|0.27|0.27|Happy
88|0.33|0.0|0.17|0.33|0.17|Happy
89|0.5|0.0|0.25|0.25|0.0|Happy
90|0.45|0.09|0.18|0.18|0.09|Happy
91|0.11|0.11|0.56|0.22|0.0|Surprise
92|0.41|0.0|0.3|0.19|0.11|Happy
93|0.38|0.0|0.25|0.25|0.12|Happy
94|0.0|0.0|0.12|0.5|0.38|Sad
95|0.09|0.0|0.55|0.18|0.18|Surprise
96|0.0|0.0|0.0|0.0|1.0|Fear
97|0.24|0.06|0.29|0.18|0.24|Surprise
98|1.0|0.0|0.0|0.0|0.0|Happy
99|0.38|0.05|0.19|0.24|0.14|Happy
100|0.0|0.14|0.09|0.34|0.43|Fear
101|0.25|0.0|0.5|0.25|0.0|Surprise
102|0.19|0.0|0.31|0.25|0.25|Surprise
103|0.2|0.0|0.2|0.4|0.2|Sad
104|0.45|0.0|0.0|0.45|0.09|Happy
105|0.0|0.0|0.0|0.0|0.0|Happy
106|0.0|0.0|0.2|0.4|0.4|Sad
107|0.0|0.0|0.33|0.33|0.33|Surprise
108|0.0|0.0|0.0|0.0|0.0|Happy
109|0.0|0.0|0.0|0.0|0.0|Happy
110|0.2|0.1|0.3|0.3|0.1|Surprise
111|0.0|0.0|0.0|0.0|0.0|Happy
112|0.1|0.05|0.3|0.1|0.45|Fear
113|0.27|0.05|0.22|0.32|0.15|Sad
114|0.4|0.0|0.3|0.2|0.1|Happy
115|0.25|0.0|0.0|0.5|0.25|Sad
116|0.14|0.07|0.36|0.21|0.21|Surprise
117|0.0|0.0|0.0|0.0|0.0|Happy
118|0.08|0.0|0.23|0.38|0.31|Sad
119|0.04|0.08|0.24|0.48|0.16|Sad
120|0.18|0.03|0.05|0.59|0.15|Sad
121|0.0|0.17|0.08|0.33|0.42|Fear
122|0.08|0.0|0.25|0.58|0.08|Sad
123|0.0|0.0|0.0|0.0|0.0|Happy
124|1.0|0.0|0.0|0.0|0.0|Happy
125|0.41|0.0|0.29|0.18|0.12|Happy
126|0.45|0.0|0.18|0.36|0.0|Happy
127|0.09|0.0|0.39|0.3|0.22|Surprise
128|0.29|0.0|0.29|0.14|0.29|Happy
129|0.24|0.1|0.1|0.38|0.19|Sad
130|0.5|0.0|0.0|0.5|0.0|Happy
131|0.33|0.06|0.33|0.17|0.11|Happy
132|0.0|0.0|0.4|0.4|0.2|Surprise
133|0.31|0.03|0.06|0.44|0.16|Sad
134|0.33|0.0|0.0|0.0|0.67|Fear
135|0.5|0.0|0.0|0.0|0.5|Happy
136|0.05|0.0|0.47|0.26|0.21|Surprise
137|0.42|0.0|0.08|0.42|0.08|Happy
138|0.14|0.0|0.21|0.43|0.21|Sad
139|0.08|0.12|0.08|0.32|0.4|Fear
140|0.19|0.03|0.19|0.16|0.42|Fear
141|0.29|0.14|0.14|0.29|0.14|Happy
142|0.14|0.05|0.18|0.41|0.23|Sad
143|0.67|0.17|0.17|0.0|0.0|Happy
144|0.22|0.05|0.19|0.3|0.24|Sad
145|0.5|0.0|0.25|0.0|0.25|Happy
146|0.19|0.0|0.25|0.06|0.5|Fear
147|0.6|0.0|0.0|0.4|0.0|Happy
148|0.38|0.04|0.29|0.17|0.12|Happy
149|0.2|0.1|0.1|0.3|0.3|Sad
150|0.36|0.04|0.24|0.2|0.16|Happy
151|0.26|0.11|0.16|0.32|0.16|Sad
152|0.0|0.12|0.19|0.38|0.31|Sad
153|0.0|0.0|0.0|0.0|0.0|Happy
154|0.19|0.04|0.23|0.12|0.42|Fear
155|0.47|0.06|0.06|0.24|0.18|Happy
156|0.15|0.02|0.26|0.15|0.43|Fear
157|0.14|0.0|0.57|0.21|0.07|Surprise
158|0.11|0.09|0.19|0.36|0.26|Sad
159|0.5|0.0|0.0|0.0|0.5|Happy
160|0.33|0.0|0.33|0.33|0.0|Happy
161|0.12|0.0|0.12|0.5|0.25|Sad
162|0.5|0.0|0.0|0.5|0.0|Happy
163|0.0|0.0|0.0|0.0|0.0|Happy
164|0.0|0.11|0.11|0.56|0.22|Sad
165|0.13|0.0|0.19|0.39|0.29|Sad
166|0.17|0.0|0.33|0.33|0.17|Surprise
167|0.0|0.0|0.0|0.0|0.0|Happy
168|0.25|0.0|0.5|0.25|0.0|Surprise
169|0.33|0.0|0.33|0.17|0.17|Happy
170|0.46|0.0|0.15|0.23|0.15|Happy
171|0.17|0.1|0.1|0.37|0.27|Sad
172|0.4|0.0|0.2|0.2|0.2|Happy
173|0.5|0.0|0.0|0.25|0.25|Happy
174|0.32|0.0|0.23|0.19|0.26|Happy
175|0.5|0.0|0.0|0.5|0.0|Happy
176|0.08|0.04|0.33|0.21|0.33|Surprise
177|0.0|0.0|0.0|0.0|0.0|Happy
178|0.0|0.0|0.0|0.0|0.0|Happy
179|0.09|0.0|0.45|0.36|0.09|Surprise
180|0.0|0.0|0.2|0.8|0.0|Sad
181|0.17|0.09|0.13|0.43|0.17|Sad
182|0.12|0.0|0.25|0.38|0.25|Sad
183|0.15|0.19|0.22|0.24|0.2|Sad
184|0.0|0.0|0.0|0.0|1.0|Fear
185|0.39|0.11|0.0|0.44|0.06|Sad
186|0.0|0.0|0.0|0.0|0.0|Happy
187|0.28|0.0|0.17|0.33|0.22|Sad
188|0.56|0.0|0.22|0.11|0.11|Happy
189|0.0|0.0|0.0|0.0|0.0|Happy
190|0.29|0.0|0.21|0.36|0.14|Sad
191|0.25|0.08|0.0|0.58|0.08|Sad
192|0.26|0.04|0.22|0.33|0.15|Sad
193|0.4|0.0|0.33|0.13|0.13|Happy
194|0.0|0.0|0.0|0.0|0.0|Happy
195|0.25|0.19|0.25|0.0|0.31|Fear
196|0.5|0.0|0.0|0.5|0.0|Happy
197|0.25|0.12|0.12|0.38|0.12|Sad
198|0.26|0.03|0.26|0.29|0.17|Sad
199|0.11|0.06|0.22|0.22|0.39|Fear
200|0.13|0.04|0.17|0.39|0.26|Sad
201|0.32|0.0|0.27|0.27|0.14|Happy
202|0.0|0.0|0.17|0.67|0.17|Sad
203|0.0|0.14|0.21|0.29|0.36|Fear
204|1.0|0.0|0.0|0.0|0.0|Happy
205|0.03|0.09|0.24|0.41|0.24|Sad
206|0.0|0.0|0.5|0.25|0.25|Surprise
207|0.11|0.0|0.11|0.44|0.33|Sad
208|0.25|0.0|0.25|0.25|0.25|Happy
209|0.55|0.0|0.27|0.09|0.09|Happy
210|0.21|0.07|0.14|0.5|0.07|Sad
211|0.58|0.25|0.17|0.0|0.0|Happy
212|0.75|0.0|0.0|0.25|0.0|Happy
213|0.15|0.1|0.05|0.45|0.25|Sad
214|0.21|0.14|0.21|0.24|0.21|Sad
215|0.0|0.0|0.0|0.0|0.0|Happy
216|0.38|0.19|0.06|0.31|0.06|Happy
217|0.1|0.0|0.4|0.3|0.2|Surprise
218|0.27|0.0|0.36|0.36|0.0|Surprise
219|0.33|0.0|0.11|0.44|0.11|Sad
220|0.27|0.0|0.18|0.27|0.27|Happy
221|0.29|0.0|0.21|0.21|0.29|Happy
222|0.0|0.0|0.0|0.0|0.0|Happy
223|0.0|0.0|0.0|0.0|0.0|Happy
224|0.0|0.0|0.6|0.2|0.2|Surprise
225|0.67|0.0|0.0|0.0|0.33|Happy
226|0.23|0.08|0.23|0.23|0.23|Happy
227|0.18|0.09|0.18|0.27|0.27|Sad
228|0.75|0.0|0.0|0.25|0.0|Happy
229|0.3|0.09|0.13|0.22|0.26|Happy
230|0.0|0.0|0.14|0.43|0.43|Sad
231|0.19|0.12|0.12|0.5|0.06|Sad
232|0.5|0.0|0.0|0.25|0.25|Happy
233|0.27|0.0|0.27|0.2|0.27|Happy
234|0.18|0.0|0.27|0.45|0.09|Sad
235|0.09|0.0|0.27|0.32|0.32|Sad
236|0.18|0.09|0.32|0.23|0.18|Surprise
237|0.5|0.0|0.33|0.17|0.0|Happy
238|0.43|0.07|0.0|0.21|0.29|Happy
239|0.0|0.0|0.0|0.0|0.0|Happy
240|0.2|0.0|0.2|0.6|0.0|Sad
241|0.35|0.0|0.26|0.13|0.26|Happy
242|0.23|0.0|0.15|0.31|0.31|Sad
243|0.0|0.0|0.0|1.0|0.0|Sad
244|0.2|0.0|0.5|0.25|0.05|Surprise
245|0.15|0.08|0.27|0.35|0.15|Sad
246|0.5|0.0|0.5|0.0|0.0|Happy
247|0.14|0.05|0.1|0.57|0.14|Sad
248|0.0|0.0|0.25|0.75|0.0|Sad
249|0.38|0.0|0.25|0.25|0.12|Happy
250|0.25|0.0|0.0|0.25|0.5|Fear
251|0.09|0.18|0.27|0.36|0.09|Sad
252|0.0|0.0|0.0|0.0|0.0|Happy
253|0.25|0.12|0.5|0.12|0.0|Surprise
254|0.3|0.0|0.3|0.3|0.1|Happy
255|0.3|0.1|0.0|0.4|0.2|Sad
256|0.17|0.0|0.25|0.21|0.38|Fear
257|0.0|0.0|0.0|0.0|0.0|Happy
258|0.25|0.06|0.06|0.12|0.5|Fear
259|0.43|0.0|0.29|0.29|0.0|Happy
260|0.0|0.0|0.0|0.0|0.0|Happy
261|0.17|0.0|0.14|0.24|0.45|Fear
262|0.21|0.04|0.5|0.12|0.12|Surprise
263|0.2|0.0|0.0|0.4|0.4|Sad
264|0.0|0.0|0.0|0.0|0.0|Happy
265|0.33|0.0|0.1|0.05|0.52|Fear
266|0.6|0.0|0.0|0.4|0.0|Happy
267|0.0|0.0|0.0|0.0|0.0|Happy
268|0.0|0.0|0.0|0.0|0.0|Happy
269|0.18|0.0|0.27|0.18|0.36|Fear
270|0.0|0.0|0.09|0.27|0.64|Fear
271|0.19|0.05|0.24|0.24|0.29|Fear
272|0.09|0.0|0.36|0.09|0.45|Fear
273|0.22|0.0|0.32|0.14|0.32|Surprise
274|0.38|0.08|0.15|0.23|0.15|Happy
275|0.0|0.0|0.0|0.0|0.0|Happy
276|0.25|0.0|0.17|0.25|0.33|Fear
277|0.19|0.0|0.25|0.38|0.19|Sad
278|0.0|0.0|0.43|0.14|0.43|Surprise
279|0.43|0.13|0.04|0.13|0.26|Happy
280|0.0|0.0|0.0|0.0|0.0|Happy
281|0.08|0.04|0.28|0.24|0.36|Fear
282|0.5|0.0|0.5|0.0|0.0|Happy
